Name,Technique,Rule Type,Severity,Source,Guide
Private Key Searching Activity,"T1552, T1552.001",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_private_key_password_searching_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-private-key-password-searching-activity.md)
Process Capability Enumeration,T1057,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_process_capabilities.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-process-capabilities.md)
Process Discovery Using Built-in Tools,T1057,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_generic_process_discovery.toml),
Process Discovery via Built-In Applications,"T1057, T1518, T1518.001",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_process_discovery_via_builtin_tools.toml),
Query Registry using Built-in Tools,T1012,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_generic_registry_query.toml),
Rare AWS Error Code,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/ml_cloudtrail_rare_error_code.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-cloudtrail-rare-error-code.md)
Rare Azure Activity Logs Event Failures,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/ml_azure_rare_event_failures.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-azure-rare-event-failures.md)
Rare GCP Audit Failure Event Code,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/ml_gcp_rare_error_code.toml),
Remote System Discovery Commands,"T1016, T1018",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_remote_system_discovery_commands_windows.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-remote-system-discovery-commands-windows.md)
Security File Access via Common Utilities,,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_security_file_access_via_common_utility.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-security-file-access-via-common-utility.md)
Security Software Discovery using WMIC,"T1047, T1518, T1518.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_security_software_wmic.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-security-software-wmic.md)
Security Software Discovery via Grep,"T1518, T1518.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/discovery_security_software_grep.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-security-software-grep.md)
Spike in AWS Error Messages,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/ml_cloudtrail_error_message_spike.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-cloudtrail-error-message-spike.md)
Spike in Azure Activity Logs Failed Messages,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/ml_azure_event_failures.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-azure-event-failures.md)
Spike in Firewall Denies,"T1041, T1046, T1071, T1498, T1499, T1590",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_denies.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-denies.md)
Spike in GCP Audit Failed Messages,"T1526, T1580",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/gcp/ml_gcp_error_message_spike.toml),
Spike in Network Traffic,"T1041, T1046, T1498, T1595",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_events.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-events.md)
Spike in Network Traffic To a Country,"T1041, T1046, T1071, T1595",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_spike_in_traffic_to_a_country.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-spike-in-traffic-to-a-country.md)
Sudo Command Enumeration Detected,T1033,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_sudo_allowed_command_enumeration.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-sudo-allowed-command-enumeration.md)
SUID/SGUID Enumeration Detected,"T1083, T1548, T1548.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_suid_sguid_enumeration.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suid-sguid-enumeration.md)
Suspicious /proc/maps Discovery,"T1003, T1003.007, T1057",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_proc_maps_read.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-proc-maps-read.md)
Suspicious Access to LDAP Attributes,T1069,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_high_number_ad_properties.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-high-number-ad-properties.md)
Suspicious Dynamic Linker Discovery via od,T1057,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_dynamic_linker_via_od.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-dynamic-linker-via-od.md)
Suspicious Kernel Feature Activity,"T1082, T1553, T1562, T1562.006",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_sysctl_kernel_feature_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-sysctl-kernel-feature-activity.md)
Suspicious Memory grep Activity,T1057,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_suspicious_memory_grep_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-memory-grep-activity.md)
Suspicious Modprobe File Event,T1082,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_linux_modprobe_enumeration.toml),
Suspicious Network Tool Launch Detected via Defend for Containers,"T1046, T1105, T1595",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/discovery_suspicious_network_tool_launched_inside_a_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-network-tool-launched-inside-a-container.md)
Suspicious Network Tool Launched Inside A Container,"T1046, T1105, T1595",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_suspicious_network_tool_launched_inside_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-network-tool-launched-inside-container.md)
Suspicious Proc Pseudo File System Enumeration,"T1057, T1082",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_suspicious_proc_enumeration.toml),
Suspicious SIP Check by macOS Application,"T1082, T1497, T1497.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_suspicious_sip_check.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-sip-check.md)
Suspicious Sysctl File Event,T1082,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_linux_sysctl_enumeration.toml),
Suspicious which Enumeration,T1082,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_suspicious_which_command_execution.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-which-command-execution.md)
System and Network Configuration Check,"T1016, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_system_and_network_configuration_check.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-system-and-network-configuration-check.md)
System Hosts File Access,T1018,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_hosts_file_access.toml),
System Information Discovery via dmidecode from Parent Shell,T1082,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_dmidecode_system_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-dmidecode-system-discovery.md)
System Information Discovery via Windows Command Shell,"T1059, T1059.003, T1082, T1083",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_files_dir_systeminfo_via_cmd.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-files-dir-systeminfo-via-cmd.md)
System Network Connections Discovery,T1049,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_system_network_connections.toml),
System Owner/User Discovery Linux,"T1033, T1069",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_linux_system_owner_user_discovery.toml),
System Public IP Discovery via DNS Query,"T1016, T1071, T1071.004",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_host_public_ip_address_lookup.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-host-public-ip-address-lookup.md)
System Service Discovery through built-in Windows Utilities,T1007,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_system_service_discovery.toml),
System Time Discovery,T1124,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_system_time_discovery.toml),
Unusual Discovery Signal Alert with Unusual Process Command Line,,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_signal_unusual_discovery_signal_proc_cmdline.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-signal-unusual-discovery-signal-proc-cmdline.md)
