Name,Technique,Rule Type,Severity,Source,Guide
Potential System Tampering via File Modification,"T1485, T1490",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_mod_critical_os_files.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-mod-critical-os-files.md)
Ransomware - Detected - Elastic Defend,T1486,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/endpoint/impact_elastic_ransomware_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-elastic-ransomware-detected.md)
Ransomware - Prevented - Elastic Defend,T1486,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/endpoint/impact_elastic_ransomware_prevented.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-elastic-ransomware-prevented.md)
Service Disabled via Registry Modification,"T1112, T1489",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/defense_evasion_service_disabled_registry.toml),
Several Failed Protected Branch Force Pushes by User,"T1020, T1485, T1567, T1567.001",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/github/impact_high_number_of_failed_protected_branch_force_pushes_by_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-high-number-of-failed-protected-branch-force-pushes-by-user.md)
Spike in Firewall Denies,"T1041, T1046, T1071, T1498, T1499, T1590",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_denies.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-denies.md)
Spike in host-based traffic,"T1041, T1068, T1204, T1498, T1499",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_events_for_a_host_name.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-events-for-a-host-name.md)
Spike in Network Traffic,"T1041, T1046, T1498, T1595",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_events.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-events.md)
SSL Certificate Deletion,"T1070, T1070.004, T1485, T1553",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_ssl_certificate_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-ssl-certificate-deletion.md)
Suspicious Data Encryption via OpenSSL Utility,T1486,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/impact_data_encrypted_via_openssl.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-data-encrypted-via-openssl.md)
Suspicious File Renamed via SMB,"T1021, T1021.002, T1485, T1490",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_ransomware_file_rename_smb.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-ransomware-file-rename-smb.md)
Suspicious Termination of ESXI Process,T1489,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/impact_esxi_process_kill.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-esxi-process-kill.md)
Third-party Backup Files Deleted via Unexpected Process,"T1485, T1490",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_backup_file_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-backup-file-deletion.md)
Unusual AWS S3 Object Encryption with SSE-C,T1486,New Terms,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_s3_unusual_object_encryption_with_sse_c.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-s3-unusual-object-encryption-with-sse-c.md)
Volume Shadow Copy Deleted or Resized via VssAdmin,T1490,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_volume_shadow_copy_deletion_or_resized_via_vssadmin.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-volume-shadow-copy-deletion-or-resized-via-vssadmin.md)
Volume Shadow Copy Deletion via PowerShell,"T1059, T1059.001, T1490",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_volume_shadow_copy_deletion_via_powershell.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-volume-shadow-copy-deletion-via-powershell.md)
Volume Shadow Copy Deletion via WMIC,"T1047, T1490",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/impact_volume_shadow_copy_deletion_via_wmic.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-volume-shadow-copy-deletion-via-wmic.md)
